timestamp,simTime,prey,predator,resources,drought,memoryUsedMB
0.003,1,100.25,26.13,99.80,0.00,5.45
0.009,2,100.49,27.30,99.60,0.00,5.45
0.015,3,100.71,28.54,99.40,0.00,5.45
0.022,4,100.92,29.83,99.21,0.00,5.45
0.028,5,101.11,31.19,99.02,0.00,5.45
0.034,6,101.29,32.61,98.82,0.00,5.46
0.040,7,101.45,34.10,98.63,0.00,5.46
0.046,8,101.60,35.66,98.44,0.00,5.46
0.052,9,101.73,37.29,98.25,0.00,5.46
0.058,10,101.84,39.00,98.07,0.00,5.46
0.064,11,101.93,40.79,97.88,0.00,5.46
0.070,12,102.00,42.67,97.70,0.00,5.46
0.076,13,102.05,44.63,97.52,0.00,5.46
0.082,14,102.08,46.68,97.34,0.00,5.46
0.088,15,102.09,48.83,97.16,0.00,5.46
0.094,16,102.07,51.08,96.98,0.00,5.46
0.100,17,102.03,53.43,96.81,0.00,5.46
0.106,18,101.97,55.89,96.64,0.00,5.46
0.112,19,101.88,58.46,96.46,0.00,5.46
0.119,20,101.43,60.94,95.61,0.71,5.46
0.125,21,100.96,63.51,94.78,0.70,5.46
0.131,22,100.47,66.18,93.97,0.70,5.46
0.137,23,99.96,68.95,93.18,0.69,5.46
0.143,24,99.43,71.81,92.41,0.68,5.46
0.149,25,98.88,74.78,91.65,0.67,5.46
0.155,26,98.31,77.86,90.92,0.67,5.46
0.161,27,97.71,81.04,90.21,0.66,5.46
0.167,28,97.10,84.33,89.51,0.65,5.46
0.173,29,96.45,87.73,88.83,0.65,5.46
0.179,30,95.79,91.24,88.16,0.64,5.46
0.185,31,95.09,94.86,87.52,0.63,5.47
0.191,32,94.38,98.60,86.89,0.63,5.47
0.197,33,93.63,102.45,86.27,0.62,5.47
0.203,34,92.74,106.29,85.45,0.88,5.47
0.209,35,91.82,110.22,84.64,0.87,5.47
0.215,36,90.87,114.26,83.86,0.86,5.47
0.222,37,89.91,118.39,83.10,0.85,5.47
0.228,38,88.92,122.62,82.36,0.84,5.47
0.234,39,87.91,126.94,81.63,0.84,5.47
0.240,40,86.88,131.36,80.93,0.83,5.47
0.246,41,85.82,135.87,80.24,0.83,5.47
0.252,42,84.74,140.46,79.57,0.82,5.48
0.258,43,83.65,145.14,78.92,0.81,5.48
0.264,44,82.53,149.91,78.29,0.80,5.48
0.270,45,81.39,154.75,77.67,0.79,5.48
0.276,46,80.24,159.66,77.07,0.79,5.48
0.282,47,79.06,164.65,76.49,0.78,5.48
0.288,48,77.87,169.70,75.92,0.77,5.48
0.294,49,76.66,174.81,75.37,0.76,5.48
0.300,50,75.44,179.98,74.83,0.75,5.48
0.306,51,74.20,185.20,74.31,0.75,5.48
0.312,52,72.95,190.46,73.80,0.74,5.48
0.318,53,71.68,195.75,73.31,0.73,5.48
0.325,54,70.40,201.08,72.83,0.72,5.48
0.331,55,69.12,206.43,72.37,0.72,5.48
0.337,56,67.82,211.80,71.91,0.71,5.48
0.343,57,66.52,217.18,71.48,0.70,5.48
0.349,58,65.21,222.56,71.05,0.70,5.48
0.355,59,63.89,227.94,70.63,0.69,5.49
0.361,60,62.58,233.30,70.23,0.68,5.49
0.367,61,61.26,238.65,69.84,0.68,5.49
0.373,62,59.93,243.97,69.46,0.67,5.49
0.379,63,58.61,249.25,69.10,0.66,5.49
0.385,64,57.29,254.48,68.73,0.66,5.49
0.391,65,55.98,259.67,68.38,0.66,5.49
0.397,66,54.66,264.80,68.04,0.65,5.49
0.403,67,53.36,269.86,67.72,0.64,5.49
0.409,68,52.06,274.85,67.40,0.64,5.49
0.415,69,50.77,279.77,67.09,0.63,5.49
0.422,70,49.46,284.47,66.73,0.72,5.49
0.428,71,48.16,289.07,66.38,0.71,5.49
0.434,72,46.88,293.57,66.04,0.70,5.49
0.440,73,45.61,297.97,65.71,0.69,5.49
0.446,74,44.36,302.25,65.39,0.69,5.49
0.452,75,43.13,306.41,65.09,0.68,5.49
0.458,76,41.92,310.46,64.79,0.67,5.49
0.464,77,40.73,314.37,64.50,0.67,5.49
0.470,78,39.56,318.15,64.21,0.67,5.49
0.476,79,38.40,321.80,63.94,0.66,5.49
0.482,80,37.28,325.32,63.68,0.65,5.49
0.488,81,36.17,328.70,63.42,0.65,5.49
0.494,82,35.09,331.95,63.17,0.64,5.49
0.500,83,34.03,335.06,62.93,0.63,5.49
0.506,84,32.99,338.03,62.70,0.63,5.50
0.512,85,31.98,340.87,62.48,0.62,5.50
0.519,86,31.00,343.57,62.27,0.62,5.50
0.525,87,30.03,346.12,62.06,0.62,5.50
0.531,88,29.09,348.53,61.86,0.61,5.50
0.537,89,28.18,350.79,61.66,0.61,5.50
0.543,90,27.28,352.92,61.46,0.60,5.50
0.549,91,26.41,354.92,61.28,0.60,5.50
0.555,92,25.57,356.78,61.10,0.59,5.50
0.561,93,24.75,358.52,60.93,0.59,5.50
0.567,94,23.90,359.69,60.62,0.82,5.50
0.573,95,23.08,360.72,60.32,0.81,5.50
0.579,96,22.29,361.63,60.02,0.81,5.50
0.585,97,21.52,362.41,59.74,0.80,5.51
0.591,98,20.78,363.07,59.47,0.79,5.51
0.597,99,20.07,363.60,59.20,0.78,5.51
0.603,100,19.38,364.03,58.94,0.77,5.51
0.609,101,18.72,364.34,58.69,0.77,5.51
0.615,102,18.07,364.55,58.45,0.76,5.51
0.622,103,17.46,364.65,58.22,0.75,5.51
0.628,104,16.86,364.65,58.00,0.74,5.51
0.634,105,16.29,364.56,57.78,0.74,5.51
0.640,106,15.73,364.38,57.57,0.73,5.51
0.646,107,15.20,364.11,57.37,0.72,5.51
0.652,108,14.69,363.76,57.17,0.71,5.51
0.658,109,14.19,363.32,56.98,0.71,5.51
0.664,110,13.72,362.81,56.80,0.70,5.51
0.670,111,13.26,362.23,56.63,0.69,5.51
0.676,112,12.82,361.58,56.46,0.69,5.51
0.682,113,12.38,360.74,56.26,0.74,5.51
0.688,114,11.97,359.84,56.06,0.74,5.51
0.694,115,11.57,358.88,55.88,0.73,5.51
0.700,116,11.18,357.87,55.70,0.72,5.52
0.706,117,10.81,356.80,55.52,0.72,5.52
0.712,118,10.46,355.68,55.35,0.71,5.52
0.719,119,10.11,354.51,55.19,0.70,5.52
0.725,120,9.78,353.29,55.03,0.70,5.52
0.731,121,9.47,352.03,54.88,0.69,5.52
0.737,122,9.16,350.72,54.73,0.69,5.52
0.743,123,8.87,349.38,54.59,0.68,5.52
0.749,124,8.59,348.01,54.45,0.67,5.52
0.755,125,8.32,346.60,54.32,0.67,5.52
0.761,126,8.05,345.17,54.19,0.66,5.52
0.767,127,7.80,343.70,54.07,0.65,5.52
0.773,128,7.56,342.21,53.95,0.65,5.52
0.779,129,7.33,340.70,53.84,0.64,5.52
0.785,130,7.10,339.16,53.73,0.63,5.52
0.791,131,6.89,337.61,53.63,0.63,5.52
0.797,132,6.68,336.04,53.53,0.62,5.53
0.803,133,6.46,333.95,53.28,0.91,5.53
0.809,134,6.25,331.86,53.03,0.90,5.53
0.815,135,6.05,329.76,52.80,0.89,5.53
0.822,136,5.86,327.65,52.57,0.88,5.53
0.828,137,5.68,325.54,52.35,0.87,5.53
0.834,138,5.50,323.43,52.13,0.86,5.53
0.840,139,5.33,321.32,51.93,0.86,5.53
0.846,140,5.16,319.20,51.72,0.85,5.53
0.852,141,5.01,317.09,51.53,0.84,5.53
0.858,142,4.86,314.97,51.34,0.84,5.53
0.864,143,4.71,312.85,51.15,0.83,5.53
0.870,144,4.57,310.74,50.97,0.82,5.53
0.876,145,4.44,308.62,50.79,0.82,5.53
0.882,146,4.31,306.50,50.62,0.81,5.53
0.888,147,4.19,304.40,50.45,0.81,5.53
0.894,148,4.07,302.30,50.29,0.80,5.53
0.900,149,3.95,300.21,50.14,0.79,5.53
0.906,150,3.84,298.12,49.99,0.78,5.53
0.912,151,3.74,296.05,49.84,0.77,5.53
0.919,152,3.63,293.99,49.70,0.77,5.53
0.925,153,3.54,291.94,49.57,0.76,5.53
0.931,154,3.44,289.90,49.44,0.75,5.53
0.937,155,3.35,287.87,49.31,0.74,5.53
0.943,156,3.26,285.85,49.19,0.74,5.54
0.949,157,3.18,283.85,49.08,0.73,5.54
0.955,158,3.10,281.86,48.97,0.72,5.54
0.961,159,3.02,279.88,48.86,0.71,5.54
0.967,160,2.94,277.91,48.76,0.71,5.54
0.973,161,2.87,275.95,48.66,0.70,5.54
0.979,162,2.80,274.01,48.57,0.69,5.54
0.985,163,2.73,272.09,48.48,0.69,5.54
0.991,164,2.66,270.17,48.40,0.68,5.54
0.997,165,2.60,268.27,48.31,0.67,5.54
1.003,166,2.54,266.39,48.24,0.67,5.54
1.009,167,2.48,264.52,48.16,0.66,5.54
1.015,168,2.42,262.66,48.09,0.65,5.55
