timestamp,simTime,prey,predator,resources,drought,memoryUsedMB
0.002,1,99.80,26.13,99.80,0.00,5.66
0.008,2,99.59,27.30,99.60,0.00,5.66
0.014,3,99.37,28.52,99.41,0.00,5.66
0.021,4,99.13,29.80,99.21,0.00,5.66
0.027,5,98.89,31.12,99.02,0.00,5.66
0.033,6,98.63,32.51,98.84,0.00,5.66
0.039,7,98.36,33.95,98.65,0.00,5.66
0.045,8,98.07,35.45,98.47,0.00,5.66
0.051,9,97.77,37.01,98.29,0.00,5.66
0.057,10,97.46,38.63,98.11,0.00,5.66
0.063,11,97.13,40.32,97.93,0.00,5.66
0.069,12,96.79,42.08,97.76,0.00,5.66
0.075,13,96.43,43.90,97.58,0.00,5.67
0.081,14,96.06,45.80,97.42,0.00,5.67
0.087,15,95.67,47.77,97.25,0.00,5.67
0.093,16,95.26,49.82,97.08,0.00,5.67
0.100,17,94.83,51.94,96.92,0.00,5.67
0.106,18,94.39,54.14,96.76,0.00,5.67
0.112,19,93.93,56.43,96.60,0.00,5.67
0.118,20,93.44,58.80,96.45,0.00,5.67
0.124,21,92.94,61.25,96.30,0.00,5.67
0.130,22,92.42,63.79,96.15,0.00,5.67
0.136,23,91.88,66.42,96.00,0.00,5.67
0.142,24,91.32,69.14,95.85,0.00,5.67
0.148,25,90.73,71.95,95.71,0.00,5.67
0.154,26,90.13,74.85,95.57,0.00,5.67
0.160,27,89.50,77.85,95.43,0.00,5.67
0.166,28,88.85,80.95,95.30,0.00,5.67
0.172,29,88.18,84.14,95.16,0.00,5.67
0.178,30,87.49,87.43,95.03,0.00,5.67
0.184,31,86.77,90.82,94.91,0.00,5.68
0.191,32,86.03,94.30,94.78,0.00,5.68
0.197,33,85.26,97.89,94.66,0.00,5.68
0.203,34,84.47,101.57,94.54,0.00,5.68
0.209,35,83.66,105.35,94.42,0.00,5.68
0.215,36,82.83,109.23,94.31,0.00,5.68
0.221,37,81.97,113.21,94.19,0.00,5.68
0.227,38,81.09,117.28,94.08,0.00,5.68
0.233,39,80.18,121.45,93.98,0.00,5.68
0.239,40,79.26,125.71,93.87,0.00,5.68
0.245,41,78.30,130.07,93.77,0.00,5.68
0.251,42,77.33,134.51,93.68,0.00,5.68
0.257,43,76.34,139.04,93.58,0.00,5.68
0.263,44,75.32,143.65,93.49,0.00,5.68
0.269,45,74.28,148.34,93.40,0.00,5.68
0.275,46,73.23,153.11,93.31,0.00,5.68
0.281,47,72.15,157.95,93.23,0.00,5.68
0.287,48,71.05,162.86,93.15,0.00,5.68
0.293,49,69.94,167.83,93.07,0.00,5.68
0.299,50,68.81,172.86,92.99,0.00,5.68
0.305,51,67.66,177.94,92.92,0.00,5.68
0.311,52,66.50,183.07,92.85,0.00,5.68
0.317,53,65.33,188.24,92.78,0.00,5.68
0.323,54,64.14,193.45,92.72,0.00,5.68
0.330,55,62.94,198.69,92.66,0.00,5.68
0.336,56,61.73,203.95,92.60,0.00,5.68
0.342,57,60.52,209.22,92.55,0.00,5.68
0.348,58,59.29,214.51,92.49,0.00,5.68
0.354,59,58.06,219.80,92.44,0.00,5.68
0.360,60,56.82,225.08,92.40,0.00,5.69
0.366,61,55.58,230.35,92.36,0.00,5.69
0.372,62,54.34,235.60,92.31,0.00,5.69
0.378,63,53.10,240.82,92.28,0.00,5.69
0.384,64,51.86,246.01,92.24,0.00,5.69
0.390,65,50.62,251.16,92.21,0.00,5.69
0.396,66,49.39,256.26,92.18,0.00,5.69
0.402,67,48.16,261.31,92.15,0.00,5.69
0.408,68,46.93,266.29,92.13,0.00,5.69
0.414,69,45.72,271.21,92.11,0.00,5.69
0.420,70,44.51,276.05,92.09,0.00,5.69
0.427,71,43.32,280.82,92.07,0.00,5.69
0.433,72,42.13,285.49,92.06,0.00,5.69
0.439,73,40.96,290.08,92.05,0.00,5.69
0.445,74,39.81,294.57,92.04,0.00,5.69
0.451,75,38.67,298.96,92.03,0.00,5.69
0.457,76,37.54,303.25,92.03,0.00,5.69
0.463,77,36.43,307.42,92.03,0.00,5.70
0.469,78,35.34,311.49,92.03,0.00,5.70
0.475,79,34.27,315.43,92.03,0.00,5.70
0.481,80,33.22,319.26,92.04,0.00,5.70
0.487,81,32.18,322.97,92.04,0.00,5.70
0.493,82,31.16,325.80,91.63,0.46,5.70
0.499,83,30.16,328.50,91.22,0.46,5.70
0.505,84,29.18,331.07,90.83,0.45,5.70
0.511,85,28.23,333.50,90.45,0.45,5.70
0.517,86,27.30,335.80,90.07,0.44,5.70
0.523,87,26.40,337.97,89.71,0.44,5.70
0.530,88,25.52,340.00,89.36,0.44,5.70
0.536,89,24.66,341.91,89.02,0.43,5.70
0.542,90,23.83,343.69,88.69,0.43,5.70
0.548,91,23.02,345.34,88.37,0.42,5.70
0.554,92,22.24,346.87,88.06,0.42,5.70
0.560,93,21.48,348.27,87.75,0.41,5.71
0.566,94,20.74,349.56,87.46,0.41,5.71
0.572,95,20.03,350.73,87.17,0.41,5.71
0.578,96,19.34,351.78,86.89,0.40,5.71
0.584,97,18.67,352.73,86.62,0.40,5.71
0.590,98,18.02,353.56,86.36,0.39,5.71
0.596,99,17.39,354.29,86.11,0.39,5.71
0.602,100,16.79,354.92,85.86,0.39,5.71
0.608,101,16.20,355.44,85.62,0.38,5.71
0.614,102,15.63,355.87,85.39,0.38,5.71
0.620,103,15.09,356.21,85.16,0.37,5.71
0.627,104,14.56,356.46,84.94,0.37,5.71
0.633,105,14.05,356.62,84.73,0.37,5.71
0.639,106,13.56,356.69,84.52,0.36,5.71
0.645,107,13.08,356.68,84.32,0.36,5.71
0.651,108,12.62,356.60,84.13,0.36,5.71
0.657,109,12.18,356.44,83.94,0.35,5.72
0.663,110,11.75,356.20,83.76,0.35,5.72
0.669,111,11.34,355.90,83.58,0.35,5.72
0.675,112,10.94,355.53,83.41,0.34,5.72
0.681,113,10.56,355.10,83.24,0.34,5.72
0.687,114,10.19,354.60,83.08,0.34,5.72
0.693,115,9.84,354.05,82.93,0.33,5.72
0.699,116,9.50,353.44,82.78,0.33,5.72
0.705,117,9.17,352.77,82.63,0.33,5.72
0.711,118,8.85,352.06,82.49,0.32,5.72
0.717,119,8.54,351.30,82.35,0.32,5.72
0.723,120,8.25,350.49,82.22,0.32,5.72
0.730,121,7.97,349.63,82.10,0.31,5.72
0.736,122,7.69,348.74,81.97,0.31,5.72
0.742,123,7.43,347.80,81.85,0.31,5.73
0.748,124,7.18,346.83,81.74,0.30,5.73
0.754,125,6.93,345.82,81.63,0.30,5.73
0.760,126,6.70,344.77,81.52,0.30,5.73
0.766,127,6.47,343.70,81.42,0.29,5.73
0.772,128,6.25,342.59,81.32,0.29,5.73
0.778,129,6.04,341.45,81.23,0.29,5.73
0.784,130,5.84,340.29,81.14,0.29,5.73
0.790,131,5.65,339.10,81.05,0.28,5.73
0.796,132,5.46,337.89,80.96,0.28,5.73
0.802,133,5.28,336.66,80.88,0.28,5.73
0.808,134,5.10,335.40,80.81,0.27,5.73
0.814,135,4.94,334.12,80.73,0.27,5.73
0.821,136,4.77,332.83,80.66,0.27,5.73
0.827,137,4.62,331.52,80.59,0.27,5.73
0.833,138,4.47,330.19,80.53,0.26,5.73
0.839,139,4.33,328.85,80.46,0.26,5.73
0.845,140,4.19,327.49,80.41,0.26,5.73
0.851,141,4.05,326.12,80.35,0.26,5.73
0.857,142,3.92,324.74,80.30,0.25,5.73
0.863,143,3.80,323.34,80.25,0.25,5.73
0.869,144,3.68,321.94,80.20,0.25,5.73
0.875,145,3.56,320.53,80.15,0.25,5.73
0.881,146,3.45,319.11,80.11,0.24,5.73
0.887,147,3.34,317.68,80.07,0.24,5.73
0.893,148,3.24,316.24,80.03,0.24,5.73
0.899,149,3.14,314.80,80.00,0.24,5.73
0.905,150,3.04,313.35,79.96,0.23,5.73
0.911,151,2.95,311.90,79.93,0.23,5.73
0.917,152,2.86,310.44,79.90,0.23,5.73
0.924,153,2.77,308.99,79.88,0.23,5.74
0.930,154,2.69,307.52,79.85,0.22,5.74
0.936,155,2.61,306.06,79.83,0.22,5.74
0.942,156,2.53,304.59,79.81,0.22,5.74
0.948,157,2.46,303.12,79.80,0.22,5.74
0.954,158,2.38,301.65,79.78,0.22,5.74
0.960,159,2.31,300.18,79.77,0.21,5.75
0.966,160,2.25,298.71,79.76,0.21,5.75
0.972,161,2.18,297.24,79.75,0.21,5.75
0.978,162,2.12,295.77,79.74,0.21,5.75
0.984,163,2.06,294.30,79.73,0.20,5.75
0.990,164,2.00,292.84,79.73,0.20,5.75
0.996,165,1.94,291.37,79.73,0.20,5.75
1.002,166,1.89,289.91,79.72,0.20,5.75
1.008,167,1.83,288.45,79.73,0.20,5.75
1.014,168,1.78,286.99,79.73,0.19,5.75
1.021,169,1.73,285.53,79.73,0.19,5.75
1.027,170,1.68,284.08,79.74,0.19,5.75
1.033,171,1.64,282.63,79.75,0.19,5.75
1.039,172,1.59,281.18,79.76,0.19,5.75
1.045,173,1.55,279.74,79.77,0.19,5.17
1.051,174,1.51,278.30,79.78,0.18,5.17
1.057,175,1.47,276.87,79.79,0.18,5.17
1.063,176,1.43,275.44,79.81,0.18,5.17
1.069,177,1.39,274.01,79.82,0.18,5.17
1.075,178,1.35,272.59,79.84,0.18,5.17
1.081,179,1.32,271.17,79.86,0.17,5.17
1.087,180,1.28,269.76,79.88,0.17,5.17
1.093,181,1.25,268.36,79.90,0.17,5.17
1.099,182,1.22,266.96,79.92,0.17,5.17
1.105,183,1.18,265.56,79.95,0.17,5.17
1.112,184,1.15,264.17,79.97,0.17,5.17
1.118,185,1.12,262.78,80.00,0.16,5.17
1.124,186,1.10,261.40,80.03,0.16,5.17
1.130,187,1.07,260.03,80.06,0.16,5.17
1.136,188,1.04,258.66,80.09,0.16,5.17
1.142,189,1.01,257.30,80.12,0.16,5.17
1.148,190,0.99,255.94,80.15,0.16,5.17
1.154,191,0.96,254.59,80.18,0.15,5.17
1.160,192,0.94,253.25,80.22,0.15,5.17
1.166,193,0.92,251.91,80.25,0.15,5.17
1.172,194,0.90,250.57,80.29,0.15,5.17
1.178,195,0.87,249.25,80.33,0.15,5.17
1.184,196,0.85,247.93,80.37,0.15,5.17
1.190,197,0.83,246.61,80.40,0.15,5.17
1.196,198,0.81,245.30,80.44,0.14,5.17
1.202,199,0.79,244.00,80.49,0.14,5.17
1.208,200,0.77,242.71,80.53,0.14,5.17
1.214,201,0.76,241.42,80.57,0.14,5.17
1.221,202,0.74,240.14,80.61,0.14,5.17
1.227,203,0.72,238.86,80.66,0.14,5.17
1.233,204,0.71,237.59,80.70,0.14,5.17
1.239,205,0.69,236.33,80.75,0.13,5.17
1.245,206,0.67,235.07,80.80,0.13,5.17
1.251,207,0.66,233.82,80.84,0.13,5.17
1.257,208,0.64,232.57,80.89,0.13,5.17
1.263,209,0.63,231.34,80.94,0.13,5.17
1.269,210,0.62,230.10,80.99,0.13,5.17
1.275,211,0.60,228.88,81.04,0.13,5.17
1.281,212,0.59,227.66,81.09,0.13,5.17
1.287,213,0.58,226.45,81.14,0.12,5.17
1.293,214,0.56,225.24,81.20,0.12,5.17
1.299,215,0.55,224.04,81.25,0.12,5.17
1.305,216,0.54,222.85,81.30,0.12,5.17
1.311,217,0.53,221.66,81.36,0.12,5.17
1.317,218,0.52,220.48,81.41,0.12,5.17
1.323,219,0.51,219.31,81.47,0.12,5.17
1.330,220,0.49,218.14,81.52,0.12,5.17
1.336,221,0.48,216.98,81.58,0.11,5.17
1.342,222,0.47,215.82,81.64,0.11,5.17
1.348,223,0.46,214.67,81.69,0.11,5.17
1.354,224,0.45,213.53,81.75,0.11,5.17
1.360,225,0.45,212.40,81.81,0.11,5.17
1.366,226,0.44,211.27,81.87,0.11,5.17
1.372,227,0.43,210.14,81.93,0.11,5.17
1.378,228,0.42,209.02,81.99,0.11,5.17
1.384,229,0.41,207.91,82.05,0.11,5.17
1.390,230,0.40,206.81,82.11,0.10,5.17
1.396,231,0.39,205.71,82.17,0.10,5.17
1.402,232,0.39,204.61,82.23,0.10,5.17
1.408,233,0.38,203.53,82.29,0.10,5.17
1.414,234,0.37,202.45,82.36,0.10,5.17
1.420,235,0.36,201.37,82.42,0.10,5.17
1.427,236,0.36,200.30,82.48,0.10,5.17
1.433,237,0.35,199.24,82.55,0.10,5.17
1.439,238,0.34,198.18,82.61,0.10,5.17
1.445,239,0.34,197.13,82.67,0.10,5.17
1.451,240,0.33,196.08,82.74,0.09,5.17
1.457,241,0.32,195.04,82.80,0.09,5.17
1.463,242,0.32,194.01,82.87,0.09,5.17
1.469,243,0.31,192.98,82.93,0.09,5.17
1.475,244,0.31,191.96,83.00,0.09,5.17
1.481,245,0.30,190.94,83.07,0.09,5.17
1.487,246,0.30,189.93,83.13,0.09,5.17
1.493,247,0.29,188.93,83.20,0.09,5.17
1.499,248,0.29,187.93,83.27,0.09,5.17
1.505,249,0.28,186.93,83.33,0.09,5.17
1.511,250,0.28,185.95,83.40,0.09,5.17
1.517,251,0.27,184.96,83.47,0.08,5.17
1.523,252,0.27,183.99,83.53,0.08,5.17
1.530,253,0.26,183.01,83.60,0.08,5.17
1.536,254,0.26,182.05,83.67,0.08,5.17
1.542,255,0.25,181.09,83.74,0.08,5.17
1.548,256,0.25,180.13,83.81,0.08,5.17
1.554,257,0.24,179.18,83.87,0.08,5.17
1.560,258,0.24,178.24,83.94,0.08,5.17
1.566,259,0.24,177.30,84.01,0.08,5.17
1.572,260,0.23,176.36,84.08,0.08,5.17
1.578,261,0.23,175.44,84.15,0.08,5.17
1.584,262,0.22,174.51,84.22,0.08,5.17
1.590,263,0.22,173.59,84.29,0.07,5.17
1.596,264,0.22,172.68,84.36,0.07,5.17
1.602,265,0.21,171.77,84.43,0.07,5.17
1.608,266,0.21,170.87,84.50,0.07,5.17
1.615,267,0.21,169.97,84.57,0.07,5.17
1.621,268,0.20,169.08,84.64,0.07,5.17
1.627,269,0.20,168.19,84.71,0.07,5.17
1.633,270,0.20,167.31,84.78,0.07,5.17
1.639,271,0.19,166.43,84.85,0.07,5.17
1.645,272,0.19,165.56,84.92,0.07,5.17
1.651,273,0.19,164.69,84.99,0.07,5.17
1.657,274,0.18,163.82,85.06,0.07,5.17
1.663,275,0.18,162.97,85.13,0.07,5.17
1.669,276,0.18,162.11,85.20,0.07,5.17
1.675,277,0.18,161.26,85.27,0.07,5.17
1.681,278,0.17,160.42,85.34,0.06,5.17
1.687,279,0.17,159.58,85.41,0.06,5.17
1.693,280,0.17,158.75,85.48,0.06,5.17
1.699,281,0.17,157.92,85.55,0.06,5.17
1.705,282,0.16,157.09,85.62,0.06,5.17
1.711,283,0.16,156.27,85.69,0.06,5.17
1.717,284,0.16,155.45,85.76,0.06,5.17
1.723,285,0.16,154.39,85.55,0.38,5.17
1.730,286,0.15,153.34,85.35,0.38,5.17
1.736,287,0.15,152.29,85.16,0.38,5.17
1.742,288,0.15,151.26,84.97,0.37,5.17
1.748,289,0.15,150.24,84.78,0.37,5.17
1.754,290,0.14,149.22,84.60,0.36,5.17
1.760,291,0.14,148.22,84.43,0.36,5.17
1.766,292,0.14,147.22,84.25,0.36,5.17
1.772,293,0.14,146.24,84.09,0.35,5.17
1.778,294,0.14,145.26,83.93,0.35,5.17
1.784,295,0.14,144.29,83.77,0.35,5.17
1.790,296,0.13,143.33,83.62,0.34,5.17
1.796,297,0.13,142.38,83.47,0.34,5.17
1.802,298,0.13,141.44,83.33,0.34,5.17
1.808,299,0.13,140.51,83.19,0.33,5.17
1.814,300,0.13,139.58,83.06,0.33,5.17
1.820,301,0.12,138.67,82.93,0.33,5.17
1.827,302,0.12,137.76,82.80,0.32,5.17
1.833,303,0.12,136.86,82.68,0.32,5.17
1.839,304,0.12,135.96,82.56,0.32,5.17
1.845,305,0.12,135.08,82.44,0.31,5.17
1.851,306,0.12,134.20,82.33,0.31,5.17
1.857,307,0.12,133.33,82.22,0.31,5.17
1.863,308,0.11,132.47,82.12,0.30,5.17
1.869,309,0.11,131.62,82.02,0.30,5.17
1.875,310,0.11,130.77,81.92,0.30,5.17
1.881,311,0.11,129.93,81.83,0.30,5.18
