timestamp,simTime,prey,predator,resources,drought,memoryUsedMB
0.003,1,100.25,27.38,99.80,0.00,5.09
0.009,2,100.47,29.98,99.60,0.00,5.09
0.015,3,100.67,32.84,99.40,0.00,5.09
0.021,4,100.83,35.99,99.21,0.00,5.09
0.028,5,100.97,39.44,99.02,0.00,5.09
0.033,6,101.06,43.22,98.82,0.00,5.09
0.039,7,101.12,47.37,98.63,0.00,5.09
0.045,8,101.13,51.93,98.44,0.00,5.09
0.051,9,101.10,56.92,98.26,0.00,5.09
0.057,10,101.01,62.39,98.07,0.00,5.09
0.063,11,100.87,68.38,97.89,0.00,5.09
0.069,12,100.67,74.93,97.71,0.00,5.09
0.075,13,100.40,82.10,97.53,0.00,5.09
0.081,14,100.06,89.93,97.35,0.00,5.09
0.087,15,99.65,98.48,97.18,0.00,5.09
0.094,16,99.15,107.80,97.01,0.00,5.09
0.100,17,98.57,117.95,96.84,0.00,5.09
0.106,18,97.89,128.99,96.67,0.00,5.09
0.112,19,97.11,140.97,96.51,0.00,5.09
0.118,20,96.22,153.95,96.35,0.00,5.09
0.124,21,95.22,168.00,96.19,0.00,5.09
0.130,22,94.10,183.16,96.03,0.00,5.09
0.136,23,92.86,199.47,95.88,0.00,5.09
0.142,24,91.48,217.00,95.74,0.00,5.09
0.149,25,89.97,235.77,95.60,0.00,5.09
0.155,26,88.33,255.80,95.46,0.00,5.09
0.161,27,86.54,277.11,95.33,0.00,5.09
0.167,28,84.62,299.71,95.20,0.00,5.09
0.173,29,82.55,323.57,95.07,0.00,5.09
0.179,30,80.35,348.67,94.95,0.00,5.09
0.185,31,78.01,374.94,94.84,0.00,5.09
0.191,32,75.54,402.31,94.74,0.00,5.09
0.197,33,72.96,430.69,94.63,0.00,5.09
0.203,34,70.26,459.96,94.54,0.00,5.09
0.209,35,67.47,489.97,94.45,0.00,5.09
0.215,36,64.60,520.58,94.37,0.00,5.09
0.221,37,61.66,551.61,94.29,0.00,5.09
0.227,38,58.67,582.86,94.22,0.00,5.09
0.234,39,55.66,614.15,94.16,0.00,5.09
0.239,40,52.63,645.26,94.10,0.00,5.09
0.245,41,49.62,676.00,94.05,0.00,5.09
0.251,42,46.63,706.16,94.01,0.00,5.09
0.257,43,43.68,735.55,93.97,0.00,5.09
0.263,44,40.81,764.00,93.94,0.00,5.09
0.269,45,38.01,791.36,93.92,0.00,5.09
0.275,46,35.30,817.48,93.90,0.00,5.09
0.281,47,32.70,842.26,93.88,0.00,5.09
0.287,48,30.22,865.59,93.88,0.00,5.09
0.294,49,27.86,887.42,93.87,0.00,5.09
0.300,50,25.62,907.70,93.88,0.00,5.09
0.306,51,23.52,926.42,93.88,0.00,5.09
0.312,52,21.55,943.58,93.89,0.00,5.09
0.318,53,19.70,959.19,93.91,0.00,5.09
0.324,54,17.99,973.29,93.92,0.00,5.09
0.330,55,16.40,985.94,93.95,0.00,5.09
0.336,56,14.93,997.18,93.97,0.00,5.09
0.342,57,13.58,1007.08,94.00,0.00,5.09
0.348,58,12.34,1015.73,94.03,0.00,5.09
0.354,59,11.20,1023.18,94.06,0.00,5.09
0.360,60,10.16,1029.53,94.09,0.00,5.09
0.366,61,9.21,1034.84,94.13,0.00,5.09
0.372,62,8.35,1039.20,94.16,0.00,5.09
0.378,63,7.56,1042.68,94.20,0.00,5.09
0.384,64,6.84,1045.34,94.24,0.00,5.09
0.391,65,6.19,1047.27,94.28,0.00,5.09
0.397,66,5.60,1048.52,94.32,0.00,5.09
0.403,67,5.07,1049.15,94.37,0.00,5.09
0.409,68,4.59,1049.23,94.41,0.00,5.09
0.415,69,4.15,1048.80,94.45,0.00,5.09
0.421,70,3.76,1047.91,94.50,0.00,5.09
0.427,71,3.40,1046.60,94.54,0.00,5.09
0.433,72,3.08,1044.93,94.59,0.00,5.09
0.439,73,2.79,1042.92,94.63,0.00,5.09
0.445,74,2.52,1040.61,94.68,0.00,5.09
0.451,75,2.29,1038.04,94.72,0.00,5.09
0.457,76,2.07,1035.22,94.77,0.00,5.09
0.463,77,1.88,1032.19,94.81,0.00,5.09
0.469,78,1.70,1028.96,94.86,0.00,5.09
0.475,79,1.54,1025.57,94.90,0.00,5.09
0.481,80,1.40,1022.02,94.95,0.00,5.09
0.487,81,1.27,1018.34,94.99,0.00,5.09
0.494,82,1.15,1012.19,94.60,0.46,5.09
0.500,83,1.04,1005.98,94.22,0.46,5.09
0.506,84,0.94,999.72,93.84,0.45,5.09
0.512,85,0.85,993.42,93.48,0.45,5.09
0.518,86,0.77,987.09,93.12,0.44,5.09
0.524,87,0.70,980.75,92.77,0.44,5.09
0.530,88,0.63,974.40,92.44,0.44,5.09
0.536,89,0.58,968.04,92.11,0.43,5.09
0.542,90,0.52,961.70,91.78,0.43,5.09
0.548,91,0.48,955.36,91.47,0.42,5.09
0.554,92,0.43,949.04,91.17,0.42,5.09
0.560,93,0.40,942.75,90.87,0.41,5.09
0.566,94,0.36,936.48,90.58,0.41,5.09
0.572,95,0.33,930.23,90.30,0.41,5.09
0.578,96,0.30,924.02,90.02,0.40,5.10
0.584,97,0.27,917.84,89.75,0.40,5.10
0.590,98,0.25,911.70,89.49,0.39,5.10
0.597,99,0.23,905.59,89.23,0.39,5.10
0.603,100,0.21,899.52,88.99,0.39,5.10
0.609,101,0.19,893.50,88.74,0.38,5.10
0.615,102,0.18,887.51,88.51,0.38,5.10
0.621,103,0.16,881.57,88.28,0.37,5.10
0.627,104,0.15,875.67,88.05,0.37,5.10
0.633,105,0.14,869.82,87.84,0.37,5.10
0.639,106,0.13,864.01,87.62,0.36,5.10
0.645,107,0.12,858.25,87.42,0.36,5.10
0.651,108,0.11,852.53,87.22,0.36,5.10
0.657,109,0.10,846.85,87.02,0.35,5.10
0.663,110,0.09,841.22,86.83,0.35,5.10
0.669,111,0.08,835.64,86.64,0.35,5.10
0.675,112,0.08,830.10,86.46,0.34,5.10
0.681,113,0.07,824.61,86.29,0.34,5.10
0.687,114,0.07,819.17,86.12,0.34,5.10
0.694,115,0.06,813.77,85.95,0.33,5.10
0.700,116,0.06,808.41,85.79,0.33,5.10
0.706,117,0.05,803.10,85.63,0.33,5.10
0.712,118,0.05,797.83,85.48,0.32,5.10
0.718,119,0.04,792.61,85.33,0.32,5.10
0.724,120,0.04,787.43,85.19,0.32,5.10
0.730,121,0.04,782.30,85.05,0.31,5.10
0.736,122,0.04,777.21,84.91,0.31,5.10
0.742,123,0.03,772.16,84.78,0.31,5.10
0.748,124,0.03,767.16,84.65,0.30,5.10
0.754,125,0.03,762.19,84.53,0.30,5.10
0.760,126,0.03,757.27,84.41,0.30,5.10
0.766,127,0.02,752.39,84.29,0.29,5.10
0.772,128,0.02,747.56,84.18,0.29,5.10
0.778,129,0.02,742.76,84.07,0.29,5.10
0.784,130,0.02,738.00,83.96,0.29,5.10
0.790,131,0.02,733.28,83.86,0.28,5.10
0.797,132,0.02,728.61,83.76,0.28,5.10
0.803,133,0.02,723.97,83.66,0.28,5.10
0.809,134,0.02,719.37,83.57,0.27,5.10
0.815,135,0.01,714.81,83.48,0.27,5.10
0.821,136,0.01,710.28,83.40,0.27,5.10
0.827,137,0.01,705.80,83.31,0.27,5.10
0.833,138,0.01,701.35,83.23,0.26,5.10
0.839,139,0.01,696.93,83.15,0.26,5.10
0.845,140,0.01,692.56,83.08,0.26,5.10
0.851,141,0.01,688.22,83.01,0.26,5.10
0.857,142,0.01,683.91,82.94,0.25,5.10
0.863,143,0.01,679.64,82.87,0.25,5.10
0.869,144,0.01,675.41,82.81,0.25,5.10
0.875,145,0.01,671.21,82.75,0.25,5.10
0.881,146,0.01,667.04,82.69,0.24,5.10
0.887,147,0.01,662.91,82.64,0.24,5.10
0.894,148,0.01,658.81,82.58,0.24,5.10
0.900,149,0.01,654.75,82.53,0.24,5.10
0.906,150,0.01,650.71,82.48,0.23,5.10
0.912,151,0.01,646.71,82.44,0.23,5.10
0.918,152,0.00,642.74,82.39,0.23,5.10
0.924,153,0.00,638.80,82.35,0.23,5.10
0.930,154,0.00,634.90,82.31,0.22,5.10
0.936,155,0.00,631.02,82.28,0.22,5.10
0.942,156,0.00,627.17,82.24,0.22,5.10
0.948,157,0.00,623.36,82.21,0.22,5.10
0.954,158,0.00,619.57,82.18,0.22,5.10
0.960,159,0.00,615.82,82.15,0.21,5.10
0.966,160,0.00,612.09,82.12,0.21,5.11
0.972,161,0.00,608.39,82.10,0.21,5.11
0.978,162,0.00,604.72,82.07,0.21,5.11
