timestamp,simTime,prey,predator,resources,drought,memoryUsedMB
0.003,1,100.25,26.13,99.80,0.00,5.32
0.009,2,100.49,27.30,99.61,0.00,5.32
0.015,3,100.71,28.54,99.43,0.00,5.32
0.021,4,100.92,29.83,99.25,0.00,5.32
0.027,5,101.11,31.19,99.09,0.00,5.32
0.033,6,101.29,32.61,98.93,0.00,5.32
0.039,7,101.45,34.10,98.78,0.00,5.32
0.045,8,101.60,35.66,98.64,0.00,5.32
0.051,9,101.73,37.29,98.50,0.00,5.32
0.057,10,101.84,39.00,98.37,0.00,5.32
0.063,11,101.94,40.79,98.25,0.00,5.32
0.069,12,102.01,42.67,98.13,0.00,5.32
0.075,13,102.06,44.63,98.02,0.00,5.32
0.082,14,102.10,46.69,97.91,0.00,5.32
0.087,15,102.11,48.84,97.81,0.00,5.32
0.093,16,102.10,51.08,97.71,0.00,5.32
0.100,17,102.06,53.44,97.62,0.00,5.32
0.106,18,102.00,55.90,97.53,0.00,5.32
0.112,19,101.92,58.47,97.45,0.00,5.32
0.118,20,101.81,61.15,97.37,0.00,5.32
0.124,21,101.67,63.96,97.29,0.00,5.32
0.130,22,101.51,66.89,97.22,0.00,5.32
0.136,23,101.31,69.95,97.15,0.00,5.32
0.142,24,101.09,73.15,97.09,0.00,5.32
0.148,25,100.83,76.48,97.03,0.00,5.32
0.154,26,100.55,79.95,96.97,0.00,5.32
0.160,27,100.23,83.57,96.92,0.00,5.32
0.166,28,99.87,87.34,96.87,0.00,5.32
0.172,29,99.48,91.27,96.82,0.00,5.32
0.178,30,99.06,95.35,96.77,0.00,5.32
0.184,31,98.60,99.60,96.73,0.00,5.32
0.190,32,98.10,104.01,96.69,0.00,5.32
0.196,33,97.56,108.59,96.66,0.00,5.32
0.203,34,96.99,113.35,96.62,0.00,5.32
0.209,35,96.37,118.28,96.59,0.00,5.32
0.215,36,95.71,123.38,96.56,0.00,5.32
0.221,37,95.01,128.67,96.54,0.00,5.32
0.227,38,94.27,134.14,96.52,0.00,5.32
0.233,39,93.49,139.79,96.49,0.00,5.32
0.239,40,92.67,145.63,96.48,0.00,5.32
0.245,41,91.80,151.65,96.46,0.00,5.32
0.251,42,90.89,157.85,96.45,0.00,5.32
0.257,43,89.93,164.23,96.44,0.00,5.32
0.263,44,88.94,170.80,96.43,0.00,5.32
0.269,45,87.90,177.54,96.42,0.00,5.32
0.275,46,86.81,184.45,96.42,0.00,5.32
0.281,47,85.69,191.54,96.42,0.00,5.32
0.287,48,84.53,198.79,96.42,0.00,5.32
0.293,49,83.32,206.19,96.42,0.00,5.32
0.300,50,82.08,213.75,96.43,0.00,5.32
0.306,51,80.79,221.46,96.44,0.00,5.32
0.312,52,79.47,229.30,96.45,0.00,5.32
0.318,53,78.12,237.26,96.46,0.00,5.32
0.324,54,76.73,245.34,96.48,0.00,5.32
0.330,55,75.31,253.53,96.49,0.00,5.32
0.336,56,73.86,261.81,96.51,0.00,5.32
0.342,57,72.38,270.17,96.53,0.00,5.32
0.348,58,70.88,278.59,96.55,0.00,5.32
0.354,59,69.35,287.07,96.58,0.00,5.32
0.360,60,67.81,295.59,96.60,0.00,5.32
0.366,61,66.24,304.13,96.63,0.00,5.32
0.372,62,64.66,312.69,96.66,0.00,5.32
0.378,63,63.07,321.23,96.70,0.00,5.32
0.384,64,61.47,329.76,96.73,0.00,5.32
0.391,65,59.86,338.24,96.76,0.00,5.32
0.396,66,58.25,346.68,96.80,0.00,5.32
0.403,67,56.64,355.04,96.84,0.00,5.32
0.409,68,55.03,363.32,96.88,0.00,5.32
0.415,69,53.42,371.50,96.92,0.00,5.32
0.421,70,51.83,379.57,96.96,0.00,5.32
0.427,71,50.24,387.50,97.01,0.00,5.32
0.433,72,48.66,395.30,97.05,0.00,5.32
0.439,73,47.11,402.94,97.10,0.00,5.32
0.445,74,45.56,410.42,97.14,0.00,5.32
0.451,75,44.04,417.72,97.19,0.00,5.32
0.457,76,42.54,424.83,97.24,0.00,5.32
0.463,77,41.07,431.74,97.29,0.00,5.32
0.469,78,39.62,438.45,97.34,0.00,5.32
0.476,79,38.20,444.94,97.39,0.00,5.32
0.481,80,36.81,451.21,97.44,0.00,5.32
0.488,81,35.44,457.26,97.49,0.00,5.32
0.494,82,33.98,462.02,95.29,0.46,5.32
0.500,83,32.56,466.50,93.27,0.46,5.32
0.506,84,31.19,470.71,91.40,0.45,5.32
0.512,85,29.87,474.64,89.68,0.45,5.32
0.518,86,28.59,478.30,88.10,0.44,5.32
0.524,87,27.36,481.70,86.63,0.44,5.32
0.530,88,26.18,484.83,85.27,0.44,5.32
