timestamp,simTime,prey,predator,resources,drought,memoryUsedMB
0.003,1,100.25,26.13,99.80,0.00,5.48
0.009,2,100.49,27.30,99.60,0.00,5.48
0.015,3,100.71,28.54,99.40,0.00,5.48
0.021,4,100.92,29.83,99.20,0.00,5.48
0.027,5,101.11,31.19,99.00,0.00,5.48
0.033,6,101.29,32.61,98.80,0.00,5.48
0.039,7,101.45,34.10,98.59,0.00,5.48
0.045,8,101.60,35.66,98.39,0.00,5.48
0.051,9,101.72,37.29,98.19,0.00,5.48
0.057,10,101.83,39.00,97.99,0.00,5.48
0.063,11,101.93,40.79,97.79,0.00,5.48
0.069,12,102.00,42.67,97.59,0.00,5.48
0.075,13,102.05,44.63,97.38,0.00,5.48
0.081,14,102.08,46.68,97.18,0.00,5.48
0.088,15,102.08,48.83,96.98,0.00,5.48
0.094,16,102.07,51.08,96.78,0.00,5.48
0.100,17,102.03,53.43,96.58,0.00,5.48
0.106,18,101.96,55.89,96.38,0.00,5.48
0.112,19,101.87,58.46,96.18,0.00,5.48
0.118,20,101.75,61.15,95.98,0.00,5.48
0.124,21,101.61,63.95,95.78,0.00,5.48
0.130,22,101.43,66.88,95.58,0.00,5.48
0.137,23,101.23,69.94,95.38,0.00,5.48
0.142,24,101.00,73.13,95.18,0.00,5.48
0.149,25,100.73,76.46,94.99,0.00,5.48
0.154,26,100.43,79.93,94.79,0.00,5.48
0.161,27,100.10,83.54,94.59,0.00,5.48
0.167,28,99.74,87.30,94.40,0.00,5.48
0.173,29,99.33,91.22,94.20,0.00,5.49
0.179,30,98.90,95.29,94.01,0.00,5.49
0.185,31,98.42,99.53,93.82,0.00,5.49
0.191,32,97.91,103.93,93.63,0.00,5.49
0.197,33,97.36,108.50,93.44,0.00,5.50
0.203,34,96.77,113.24,93.25,0.00,5.50
0.209,35,96.14,118.15,93.06,0.00,5.50
0.215,36,95.46,123.24,92.88,0.00,5.50
0.221,37,94.75,128.51,92.69,0.00,5.50
0.227,38,94.00,133.95,92.51,0.00,5.50
0.233,39,93.20,139.58,92.33,0.00,5.50
0.240,40,92.36,145.38,92.15,0.00,5.50
0.245,41,91.47,151.37,91.97,0.00,5.50
0.252,42,90.55,157.54,91.80,0.00,5.50
0.258,43,89.58,163.88,91.62,0.00,5.50
0.264,44,88.57,170.40,91.45,0.00,5.50
0.270,45,87.52,177.10,91.28,0.00,5.50
0.276,46,86.42,183.96,91.11,0.00,5.50
0.281,47,85.29,190.99,90.95,0.00,5.50
0.288,48,84.11,198.18,90.79,0.00,5.50
0.294,49,82.89,205.52,90.63,0.00,5.50
0.300,50,81.64,213.01,90.47,0.00,5.50
0.306,51,80.35,220.64,90.31,0.00,5.50
0.312,52,79.02,228.40,90.16,0.00,5.50
0.318,53,77.66,236.29,90.01,0.00,5.50
