timestamp,simTime,prey,predator,resources,drought,memoryUsedMB
0.003,1,10.07,25.00,99.98,0.00,5.59
0.009,2,10.14,25.00,99.96,0.00,5.59
0.015,3,10.21,25.00,99.94,0.00,5.59
0.021,4,10.28,25.01,99.92,0.00,5.59
0.027,5,10.35,25.01,99.90,0.00,5.59
0.033,6,10.43,25.01,99.88,0.00,5.59
0.039,7,10.50,25.02,99.86,0.00,5.59
0.045,8,10.57,25.02,99.84,0.00,5.59
0.051,9,10.65,25.03,99.82,0.00,5.59
0.057,10,10.72,25.04,99.80,0.00,5.59
0.064,11,10.80,25.05,99.78,0.00,5.59
0.070,12,10.87,25.06,99.76,0.00,5.59
0.076,13,10.95,25.07,99.74,0.00,5.59
0.082,14,11.02,25.08,99.72,0.00,5.59
0.088,15,11.10,25.09,99.71,0.00,5.59
0.094,16,11.18,25.11,99.69,0.00,5.59
0.100,17,11.25,25.12,99.67,0.00,5.59
0.106,18,11.33,25.14,99.65,0.00,5.59
0.112,19,11.41,25.16,99.63,0.00,5.59
0.118,20,11.49,25.17,99.61,0.00,5.59
0.124,21,11.57,25.19,99.59,0.00,5.59
0.130,22,11.65,25.21,99.57,0.00,5.59
0.136,23,11.73,25.23,99.55,0.00,5.59
0.142,24,11.81,25.25,99.53,0.00,5.59
0.148,25,11.89,25.28,99.51,0.00,5.59
0.154,26,11.97,25.30,99.50,0.00,5.60
0.161,27,12.05,25.33,99.48,0.00,5.60
0.167,28,12.14,25.35,99.46,0.00,5.60
0.173,29,12.22,25.38,99.44,0.00,5.60
0.179,30,12.30,25.41,99.42,0.00,5.60
0.185,31,12.39,25.44,99.40,0.00,5.60
0.191,32,12.47,25.47,99.38,0.00,5.60
0.197,33,12.56,25.50,99.36,0.00,5.60
0.203,34,12.64,25.53,99.34,0.00,5.60
0.209,35,12.73,25.56,99.33,0.00,5.60
0.215,36,12.82,25.60,99.31,0.00,5.60
0.221,37,12.90,25.64,99.29,0.00,5.60
0.227,38,12.99,25.67,99.27,0.00,5.60
0.233,39,13.08,25.71,99.25,0.00,5.60
0.239,40,13.17,25.75,99.23,0.00,5.61
0.245,41,13.26,25.79,99.21,0.00,5.61
0.251,42,13.34,25.83,99.19,0.00,5.61
0.257,43,13.43,25.88,99.18,0.00,5.61
0.264,44,13.53,25.92,99.16,0.00,5.61
0.270,45,13.62,25.97,99.14,0.00,5.61
0.276,46,13.71,26.01,99.12,0.00,5.61
0.282,47,13.80,26.06,99.10,0.00,5.61
0.288,48,13.89,26.11,99.08,0.00,5.61
0.294,49,13.98,26.16,99.06,0.00,5.61
0.300,50,14.08,26.21,99.05,0.00,5.61
0.306,51,14.17,26.27,99.03,0.00,5.61
0.312,52,14.27,26.32,99.01,0.00,5.61
0.318,53,14.36,26.38,98.99,0.00,5.61
0.324,54,14.46,26.44,98.97,0.00,5.61
0.330,55,14.55,26.50,98.95,0.00,5.61
0.336,56,14.65,26.56,98.93,0.00,5.61
0.342,57,14.75,26.62,98.91,0.00,5.61
0.348,58,14.84,26.68,98.90,0.00,5.61
0.354,59,14.94,26.75,98.88,0.00,5.61
0.361,60,15.04,26.81,98.86,0.00,5.61
0.367,61,15.14,26.88,98.84,0.00,5.61
0.373,62,15.24,26.95,98.82,0.00,5.61
0.379,63,15.34,27.02,98.80,0.00,5.61
0.385,64,15.44,27.09,98.78,0.00,5.62
0.391,65,15.54,27.16,98.76,0.00,5.62
0.397,66,15.64,27.24,98.75,0.00,5.62
0.403,67,15.74,27.32,98.73,0.00,5.62
0.409,68,15.84,27.39,98.71,0.00,5.62
0.415,69,15.94,27.47,98.69,0.00,5.62
0.421,70,16.05,27.56,98.67,0.00,5.62
0.427,71,16.15,27.64,98.65,0.00,5.62
0.433,72,16.25,27.72,98.63,0.00,5.62
0.439,73,16.36,27.81,98.61,0.00,5.62
0.446,74,16.46,27.90,98.59,0.00,5.62
0.452,75,16.57,27.99,98.57,0.00,5.62
0.458,76,16.67,28.08,98.56,0.00,5.62
0.464,77,16.78,28.17,98.54,0.00,5.62
0.470,78,16.88,28.27,98.52,0.00,5.62
0.476,79,16.99,28.37,98.50,0.00,5.62
0.482,80,17.10,28.47,98.48,0.00,5.62
0.488,81,17.20,28.57,98.46,0.00,5.62
0.494,82,17.24,28.60,97.99,0.46,5.63
0.500,83,17.28,28.64,97.52,0.46,5.63
0.506,84,17.31,28.68,97.07,0.45,5.63
0.512,85,17.35,28.72,96.63,0.45,5.63
0.518,86,17.39,28.76,96.20,0.44,5.63
0.524,87,17.43,28.81,95.78,0.44,5.63
0.530,88,17.47,28.85,95.37,0.44,5.63
0.536,89,17.51,28.90,94.96,0.43,5.63
0.542,90,17.55,28.94,94.57,0.43,5.63
0.548,91,17.59,28.99,94.19,0.42,5.63
0.554,92,17.63,29.04,93.81,0.42,5.63
0.561,93,17.68,29.09,93.45,0.41,5.63
