timestamp,simTime,prey,predator,resources,drought,memoryUsedMB
0.003,1,98.00,26.13,99.80,0.00,5.13
0.010,2,95.94,27.27,99.61,0.00,5.13
0.016,3,93.82,28.45,99.42,0.00,5.13
0.022,4,91.64,29.64,99.24,0.00,5.13
0.028,5,89.42,30.85,99.06,0.00,5.13
0.034,6,87.15,32.07,98.89,0.00,5.13
0.040,7,84.84,33.31,98.73,0.00,5.13
0.046,8,82.50,34.56,98.57,0.00,5.13
0.052,9,80.13,35.81,98.42,0.00,5.13
0.058,10,77.73,37.07,98.27,0.00,5.13
0.064,11,75.32,38.32,98.14,0.00,5.13
0.070,12,72.90,39.57,98.00,0.00,5.13
0.076,13,70.47,40.82,97.88,0.00,5.13
0.082,14,68.05,42.05,97.76,0.00,5.13
0.088,15,65.63,43.27,97.64,0.00,5.13
0.094,16,63.22,44.47,97.54,0.00,5.13
0.100,17,60.84,45.66,97.43,0.00,5.13
0.106,18,58.48,46.82,97.34,0.00,5.13
0.113,19,56.15,47.95,97.25,0.00,5.13
0.119,20,53.86,49.06,97.16,0.00,5.13
0.125,21,51.60,50.14,97.08,0.00,5.13
0.131,22,49.40,51.18,97.00,0.00,5.13
0.137,23,47.24,52.19,96.93,0.00,5.13
0.143,24,45.13,53.16,96.87,0.00,5.13
0.149,25,43.07,54.09,96.81,0.00,5.13
0.155,26,41.08,54.99,96.75,0.00,5.13
0.161,27,39.14,55.84,96.70,0.00,5.13
0.167,28,37.27,56.66,96.66,0.00,5.13
0.173,29,35.46,57.43,96.62,0.00,5.13
0.179,30,33.71,58.16,96.58,0.00,5.13
0.185,31,32.03,58.85,96.54,0.00,5.13
0.191,32,30.41,59.50,96.51,0.00,5.13
0.197,33,28.86,60.10,96.49,0.00,5.13
0.203,34,27.37,60.67,96.46,0.00,5.14
0.210,35,25.94,61.20,96.44,0.00,5.14
0.216,36,24.58,61.69,96.42,0.00,5.14
0.222,37,23.28,62.14,96.41,0.00,5.14
0.228,38,22.04,62.55,96.40,0.00,5.14
0.234,39,20.85,62.92,96.39,0.00,5.14
0.240,40,19.73,63.27,96.38,0.00,5.14
0.246,41,18.66,63.57,96.38,0.00,5.14
0.252,42,17.64,63.85,96.37,0.00,5.14
0.258,43,16.67,64.09,96.37,0.00,5.14
0.264,44,15.76,64.31,96.37,0.00,5.14
0.270,45,14.89,64.49,96.38,0.00,5.14
0.276,46,14.07,64.65,96.38,0.00,5.14
0.282,47,13.29,64.78,96.39,0.00,5.14
0.288,48,12.55,64.89,96.40,0.00,5.14
0.294,49,11.85,64.97,96.41,0.00,5.14
0.300,50,11.19,65.03,96.42,0.00,5.14
0.306,51,10.57,65.07,96.43,0.00,5.14
0.313,52,9.98,65.09,96.44,0.00,5.14
0.319,53,9.43,65.09,96.46,0.00,5.14
0.325,54,8.90,65.07,96.47,0.00,5.14
0.331,55,8.41,65.03,96.49,0.00,5.14
0.337,56,7.94,64.98,96.51,0.00,5.14
0.343,57,7.50,64.91,96.52,0.00,5.14
0.349,58,7.09,64.83,96.54,0.00,5.14
0.355,59,6.70,64.74,96.56,0.00,5.14
0.361,60,6.33,64.63,96.58,0.00,5.14
0.367,61,5.98,64.51,96.60,0.00,5.14
0.373,62,5.65,64.38,96.62,0.00,5.14
0.379,63,5.34,64.24,96.64,0.00,5.14
0.385,64,5.05,64.09,96.67,0.00,5.14
0.391,65,4.78,63.94,96.69,0.00,5.14
0.397,66,4.52,63.77,96.71,0.00,5.14
0.403,67,4.27,63.59,96.73,0.00,5.14
0.410,68,4.04,63.41,96.76,0.00,5.14
0.416,69,3.83,63.22,96.78,0.00,5.14
0.422,70,3.62,63.03,96.80,0.00,5.14
0.428,71,3.43,62.83,96.83,0.00,5.14
0.434,72,3.25,62.62,96.85,0.00,5.15
0.440,73,3.08,62.41,96.88,0.00,5.15
0.446,74,2.92,62.19,96.90,0.00,5.15
0.452,75,2.76,61.97,96.92,0.00,5.15
0.458,76,2.62,61.75,96.95,0.00,5.15
0.464,77,2.48,61.52,96.97,0.00,5.15
0.470,78,2.35,61.29,97.00,0.00,5.15
0.476,79,2.23,61.05,97.02,0.00,5.15
0.482,80,2.12,60.82,97.05,0.00,5.15
0.488,81,2.01,60.58,97.07,0.00,5.15
0.494,82,1.90,60.20,96.65,0.46,5.15
0.500,83,1.80,59.81,96.23,0.46,5.15
0.506,84,1.70,59.43,95.83,0.45,5.15
0.513,85,1.61,59.05,95.44,0.45,5.15
0.519,86,1.52,58.68,95.05,0.44,5.15
0.525,87,1.44,58.30,94.68,0.44,5.16
0.531,88,1.36,57.92,94.31,0.44,5.16
0.537,89,1.29,57.55,93.96,0.43,5.16
0.543,90,1.23,57.17,93.61,0.43,5.16
0.549,91,1.16,56.80,93.27,0.42,5.16
0.555,92,1.10,56.43,92.95,0.42,5.16
0.561,93,1.05,56.06,92.62,0.41,5.16
0.567,94,1.00,55.70,92.31,0.41,5.16
0.573,95,0.95,55.33,92.01,0.41,5.16
0.579,96,0.90,54.97,91.71,0.40,5.16
0.585,97,0.85,54.61,91.42,0.40,5.16
0.591,98,0.81,54.26,91.13,0.39,5.16
0.597,99,0.77,53.90,90.86,0.39,5.16
0.603,100,0.74,53.55,90.59,0.39,5.16
0.610,101,0.70,53.20,90.33,0.38,5.16
0.616,102,0.67,52.85,90.07,0.38,5.16
0.622,103,0.64,52.51,89.82,0.37,5.16
0.628,104,0.61,52.16,89.58,0.37,5.16
0.634,105,0.58,51.82,89.34,0.37,5.16
0.640,106,0.55,51.48,89.11,0.36,5.16
